Id,LotFrontage,LotArea,LotShape,OverallCond,MasVnrArea,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,TotRmsAbvGrd,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
187,NA,9947,IR1,5,0,1188,1217,0,1217,6,497,168,27,173000
188,60,10410,Reg,7,0,660,808,704,1656,8,180,0,0,135000
189,64,7018,Reg,5,275,1086,1224,0,1224,6,528,120,0,153337
190,41,4923,Reg,5,0,1593,1593,0,1593,5,682,0,120,286000
191,70,10570,Reg,8,0,853,1549,1178,2727,10,440,0,74,315000
192,NA,7472,IR1,9,138,725,725,754,1479,7,484,0,32,184000
193,68,9017,IR1,5,0,1431,1431,0,1431,6,666,0,35,192000
194,24,2522,Reg,5,50,970,970,739,1709,7,380,0,40,130000
195,60,7180,IR1,7,0,864,864,0,864,5,352,0,0,127000
196,24,2280,Reg,6,0,855,855,601,1456,7,440,87,0,148500
197,79,9416,Reg,5,205,1726,1726,0,1726,8,786,171,138,311872
198,174,25419,Reg,4,0,1360,1360,1360,3112,8,795,0,16,235000
199,92,5520,Reg,6,0,755,929,929,2229,8,0,0,198,104000
200,76,9591,Reg,5,262,1713,1713,0,1713,7,856,0,26,274900
201,80,8546,Reg,5,0,1121,1121,0,1121,5,440,132,64,140000
202,75,10125,Reg,6,0,1196,1279,0,1279,6,473,238,83,171500
203,50,7000,Reg,6,0,617,865,445,1310,6,398,0,0,112000
204,NA,4438,Reg,5,205,848,848,0,848,3,420,149,0,149000
205,50,3500,Reg,7,0,720,720,564,1284,5,240,0,35,110000
206,99,11851,Reg,5,0,1424,1442,0,1442,5,500,0,34,180500
207,40,13673,IR1,5,0,1140,1696,0,1696,8,349,0,30,143900
208,NA,12493,IR1,5,0,1100,1100,0,1100,6,312,355,0,141000
209,NA,14364,IR1,5,128,1157,1180,882,2062,7,454,60,55,277000
210,75,8250,Reg,7,260,1092,1092,0,1092,6,504,0,0,145000
211,67,5604,Reg,6,0,864,864,0,864,5,0,0,0,98000
212,83,10420,Reg,5,0,1212,1212,0,1212,6,460,100,22,186000
213,72,8640,Reg,5,0,900,932,920,1852,7,644,168,108,252678
214,43,13568,IR2,5,0,990,990,0,990,5,576,224,0,156000
215,NA,10900,IR1,7,153,689,689,703,1392,6,299,0,36,161750
216,72,10011,IR1,6,64,1070,1236,0,1236,6,447,0,0,134450
217,65,8450,Reg,5,266,1436,1436,0,1436,8,484,139,98,210000
218,57,9906,Reg,4,0,686,810,518,1328,8,210,0,172,107000
219,NA,15660,IR1,9,312,798,1137,817,1954,8,431,0,119,311500
220,43,3010,Reg,5,16,1248,1248,0,1248,5,438,108,0,167240
221,73,8990,IR1,5,0,1498,1498,0,1498,5,675,351,33,204900
222,NA,8068,IR1,5,0,1010,1010,1257,2267,8,390,120,46,200000
223,85,11475,Reg,6,0,713,811,741,1552,6,434,209,208,179900
224,70,10500,Reg,6,0,864,864,0,864,4,576,216,0,97000
225,103,13472,Reg,5,922,2392,2392,0,2392,8,968,248,105,386250
226,21,1680,Reg,5,142,630,630,672,1302,6,280,0,0,112000
227,82,9950,IR1,5,290,1203,1214,1306,2520,9,721,224,114,290000
228,21,1869,Reg,6,127,483,483,504,987,5,280,0,0,106000
229,70,8521,Reg,5,0,912,912,0,912,5,336,0,0,125000
230,43,3182,Reg,5,16,1373,1555,0,1555,7,430,143,20,192500
231,73,8760,Reg,6,220,1194,1194,0,1194,6,312,0,0,148000
232,174,15138,IR1,5,506,1462,1490,1304,2794,9,810,0,146,403000
233,21,1680,Reg,5,297,483,483,504,987,5,288,0,0,94500
234,75,10650,Reg,6,0,894,894,0,894,5,308,365,0,128200
235,NA,7851,Reg,5,NA,860,860,1100,1960,8,440,288,48,216500
236,21,1680,Reg,3,604,483,483,504,987,5,264,0,0,89500
237,65,8773,Reg,5,98,1414,1414,0,1414,6,494,132,105,185500
238,NA,9453,IR1,7,0,996,1014,730,1744,7,457,370,70,194500
239,93,12030,Reg,5,254,1694,1694,0,1694,7,818,168,228,318000
240,52,8741,Reg,4,0,735,798,689,1487,7,220,0,140,113000
241,75,9000,Reg,5,36,1566,1566,0,1566,7,750,144,168,262500
242,40,3880,Reg,9,0,686,866,0,866,4,0,58,42,110500
243,63,5000,Reg,4,0,540,889,551,1440,6,352,0,0,79000
244,75,10762,Reg,6,0,626,626,591,1217,6,288,0,28,120000
245,NA,8880,IR1,5,0,948,1222,888,2110,8,463,0,130,205000
246,80,10400,Reg,5,102,1845,1872,0,1872,6,604,197,39,241500
247,69,9142,Reg,8,0,1020,908,1020,1928,9,440,0,60,137000
248,75,11310,Reg,5,0,1367,1375,0,1375,5,451,0,30,140000
249,72,11317,Reg,5,101,840,840,828,1668,8,500,144,68,180000
250,NA,159000,IR2,7,472,1444,1444,700,2144,7,389,0,98,277000
251,55,5350,IR1,2,0,728,1306,0,1306,6,0,263,0,76500
252,44,4750,IR1,5,481,1573,1625,0,1625,5,538,123,0,235000
253,65,8366,IR1,5,0,798,798,842,1640,6,520,138,45,173000
254,85,9350,Reg,7,108,1302,1302,0,1302,7,309,333,0,158000
255,70,8400,Reg,6,0,1314,1314,0,1314,5,294,250,0,145000
256,66,8738,IR1,5,302,975,1005,1286,2291,8,429,192,0,230000
257,64,8791,IR1,5,0,864,864,864,1728,7,673,216,56,207500
258,68,8814,Reg,5,180,1604,1604,0,1604,8,660,123,110,220000
259,80,12435,Reg,5,172,963,963,829,1792,7,564,0,96,231500
260,70,12702,Reg,5,0,0,882,0,882,4,308,0,45,97000
261,120,19296,Reg,5,399,1362,1382,0,1382,6,884,0,0,176000
262,69,9588,IR1,5,270,1482,1482,1092,2574,10,868,0,148,276000
263,88,8471,IR1,7,46,506,1212,0,1212,6,492,292,12,151000
264,50,5500,Reg,7,0,926,926,0,1316,6,484,0,0,130000
265,30,5232,IR3,5,0,680,764,0,764,4,504,0,0,73000
266,78,12090,IR1,6,210,1422,1422,0,1422,7,576,276,0,175500
267,70,11207,IR1,5,0,802,802,709,1511,8,413,95,75,185000
268,60,8400,Reg,8,0,720,1052,720,2192,8,240,262,24,179500
269,71,6900,Reg,6,0,740,778,0,778,4,924,0,25,120500
270,NA,7917,IR1,7,174,1143,1113,0,1113,6,504,370,30,148000
271,84,10728,Reg,5,0,1095,1095,844,1939,8,1053,192,51,266000
272,73,39104,IR1,7,0,1385,1363,0,1363,5,439,81,0,241500
273,92,11764,IR1,7,348,1152,1164,1106,2270,9,671,132,57,290000
274,80,9600,Reg,6,183,1240,1632,0,1632,6,338,289,0,139000
275,76,8314,Reg,7,0,816,816,0,816,5,264,168,0,124500
276,55,7264,Reg,7,0,952,952,596,1548,5,672,74,0,205000
277,129,9196,IR1,5,0,1560,1560,0,1560,7,573,100,150,201000
278,140,19138,Reg,5,0,864,864,0,864,4,400,0,0,141000
279,107,14450,Reg,5,315,2121,2121,0,2121,8,732,124,98,415298
280,83,10005,Reg,5,299,1160,1156,866,2022,8,505,288,117,192000
281,82,11287,Reg,6,340,807,1175,807,1982,7,575,0,84,228500
282,60,7200,Reg,5,68,1262,1262,0,1262,5,572,0,120,185000
283,34,5063,Reg,5,166,1314,1314,0,1314,6,626,172,62,207500
284,74,9612,Reg,5,72,1468,1468,0,1468,6,898,210,150,244600
285,50,8012,Reg,5,0,1575,1575,0,1575,5,529,0,0,179200
286,35,4251,IR1,5,0,625,625,625,1250,5,528,0,54,164700
287,77,9786,IR1,7,0,912,1085,649,1734,7,440,0,0,159000
288,NA,8125,IR1,4,0,858,858,0,858,5,0,0,0,88000
289,NA,9819,IR1,5,31,882,900,0,900,5,280,0,0,122000
290,60,8730,Reg,7,0,698,698,698,1396,7,384,0,0,153575
291,120,15611,Reg,5,0,1079,1079,840,1919,8,685,0,51,233230
292,55,5687,Reg,6,0,780,936,780,1716,9,0,0,184,135900
293,60,11409,Reg,4,0,768,1148,568,1716,8,281,0,0,131000
294,NA,16659,IR1,7,34,795,1468,795,2263,9,539,0,250,235000
295,80,9600,Reg,5,238,1416,1644,0,1644,7,418,110,0,167000
296,37,7937,IR1,6,0,1003,1003,0,1003,6,588,120,0,142500
297,75,13710,Reg,5,0,910,910,648,1558,6,282,289,0,152000
298,66,7399,IR1,5,1600,975,975,975,1950,7,576,0,10,239000
299,90,11700,Reg,6,365,702,1041,702,1743,7,539,224,0,175000
300,80,14000,Reg,8,0,1092,1152,0,1152,6,300,0,36,158500
301,90,15750,Reg,5,56,1165,1336,0,1336,5,375,0,0,157000
302,66,16226,IR3,5,0,1028,1210,1242,2452,9,683,208,50,267000
303,118,13704,IR1,5,150,1541,1541,0,1541,6,843,468,81,205000
304,70,9800,Reg,7,0,894,894,0,894,5,552,256,0,149900
305,87,18386,Reg,9,0,1470,1675,1818,3493,10,870,302,0,295000
306,80,10386,Reg,5,246,2000,2000,0,2000,8,888,168,0,305900
307,116,13474,Reg,5,246,700,1122,1121,2243,8,746,127,44,225000
308,NA,7920,IR1,7,0,319,1035,371,1406,6,0,0,144,89500
309,NA,12342,IR1,5,0,861,861,0,861,4,539,158,0,82500
310,90,12378,IR1,5,0,1896,1944,0,1944,8,708,208,175,360000
311,NA,7685,IR1,5,112,697,697,804,1501,6,420,190,63,165600
312,50,8000,Reg,6,0,972,972,0,972,5,240,0,0,132000
313,65,7800,Reg,7,0,793,793,325,1118,5,410,0,0,119900
314,150,215245,IR3,5,0,2136,2036,0,2036,8,513,0,0,375000
315,60,9600,Reg,7,0,728,832,809,1641,6,546,0,0,178000
316,71,7795,IR1,5,0,716,716,716,1432,6,432,100,51,188500
317,94,13005,IR1,7,278,845,1153,1200,2353,10,484,288,195,260000
318,75,9000,Reg,5,0,1088,1088,871,1959,8,1025,208,46,270000
319,90,9900,Reg,5,256,1347,1372,1274,2646,9,656,340,60,260000
320,NA,14115,Reg,5,225,1372,1472,0,1472,6,588,233,48,187500
321,111,16259,Reg,5,370,1249,1249,1347,2596,9,840,240,154,342643
322,99,12099,IR1,5,388,1136,1136,1332,2468,10,872,184,154,354000
323,86,10380,IR1,5,172,1502,1553,1177,2730,8,576,201,96,301000
324,49,5820,Reg,8,0,1162,1163,0,1163,6,220,142,98,126175
325,96,11275,Reg,7,300,710,1898,1080,2978,11,564,240,0,242000
326,50,5000,Reg,6,0,720,803,0,803,5,360,0,0,87000
327,32,10846,IR1,5,0,1719,1719,0,1719,6,473,122,30,324000
328,80,11600,Reg,5,175,1383,1383,0,1383,7,292,0,45,145250
329,NA,11888,IR1,6,0,844,1445,689,2134,10,441,0,60,214500
330,60,6402,Reg,5,0,596,596,596,1192,6,189,0,0,78000
331,NA,10624,IR1,4,84,1728,1728,0,1728,10,352,155,0,119000
332,70,8176,Reg,6,0,1056,1056,0,1056,6,308,0,0,139000
333,85,10655,IR1,5,296,3206,1629,0,1629,7,880,0,0,284000
334,59,8198,Reg,5,146,1358,1358,0,1358,6,484,192,30,207000
335,59,9042,IR1,5,0,943,943,695,1638,7,472,100,38,192000
336,NA,164660,IR1,6,0,1499,1619,167,1786,7,529,670,0,228950
337,86,14157,IR1,5,200,1922,1922,0,1922,8,676,178,51,377426
338,70,9135,Reg,5,113,1536,1536,0,1536,7,532,192,74,214000
339,91,14145,Reg,7,0,1208,1621,0,1621,8,440,108,45,202500
340,66,12400,IR1,7,176,1215,1215,0,1215,6,297,0,0,155000
341,85,14191,Reg,5,0,967,993,915,1908,9,431,135,0,202900
342,60,8400,Reg,4,0,721,841,0,841,4,294,250,0,82000
343,NA,8544,Reg,4,340,0,1040,0,1040,6,400,0,0,87500
344,63,8849,IR1,5,616,1684,1684,0,1684,6,564,495,72,266000
345,36,2592,Reg,3,0,536,536,576,1112,4,336,182,0,85000
346,65,6435,Reg,5,0,972,972,605,1577,6,312,0,0,140200
347,NA,12772,IR1,8,0,958,958,0,958,5,301,0,0,151500
348,NA,17600,IR1,5,30,1478,1478,0,1478,6,498,0,40,157500
349,36,2448,Reg,5,106,764,764,862,1626,6,474,0,27,154000
350,56,20431,IR2,5,870,1848,1848,880,2728,10,706,0,0,437154
351,68,7820,IR1,5,362,1869,1869,0,1869,6,617,210,54,318061
352,NA,5271,IR1,5,0,1453,1453,0,1453,6,445,0,80,190000
353,60,9084,Reg,6,0,616,616,495,1111,5,200,48,0,95000
354,60,8520,Reg,8,0,624,720,0,720,5,484,106,0,105900
355,60,8400,Reg,5,0,940,1192,403,1595,6,240,0,0,140000
356,105,11249,IR2,5,0,1200,1200,0,1200,6,521,0,26,177500
357,NA,9248,IR1,6,106,1158,1167,0,1167,6,400,120,26,173000
358,44,4224,Reg,5,0,1142,1142,0,1142,6,528,536,90,134000
359,92,6930,IR1,4,120,1062,1352,0,1352,6,288,168,0,130000
360,78,12011,IR1,5,530,1086,1086,838,1924,7,592,208,75,280000
361,NA,7540,IR1,6,0,888,912,0,912,5,470,0,0,156000
362,NA,9144,Reg,5,0,883,988,517,1505,8,240,0,0,145000
363,64,7301,Reg,5,500,0,495,1427,1922,7,672,0,0,198500
364,21,1680,Reg,8,510,483,483,504,987,5,264,250,0,118000
365,NA,18800,IR1,5,120,796,790,784,1574,6,566,306,111,190000
366,59,10690,Reg,7,0,672,672,672,1344,6,468,0,128,147000
367,NA,9500,IR1,5,247,1394,1394,0,1394,6,514,0,76,159000
368,101,9150,IR1,5,305,1099,1431,0,1431,6,296,64,110,165000
369,78,7800,Reg,6,200,1268,1268,0,1268,7,244,0,98,132000
370,NA,9830,IR1,7,0,1063,1287,0,1287,7,576,364,17,162000
371,NA,8121,IR1,5,0,953,953,711,1664,7,460,100,40,172400
372,80,17120,Reg,4,0,0,1120,468,1588,7,680,0,59,134432
373,50,7175,Reg,5,0,744,752,0,752,4,264,353,0,125000
374,79,10634,Reg,6,0,608,1319,0,1319,5,270,66,0,123000
375,65,8200,Reg,5,0,847,847,1081,1928,8,434,100,48,219500
376,NA,10020,IR1,1,0,683,904,0,904,4,0,0,0,61000
377,57,8846,IR1,5,0,870,914,0,914,5,576,0,0,148000
378,102,11143,IR1,5,0,1580,1580,886,2466,8,610,159,214,340000
379,88,11394,Reg,2,350,1856,1856,0,1856,8,834,113,0,394432
