PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
278,0,2,male,,0,0,0,S
279,0,3,male,7,4,1,29.125,Q
280,1,3,female,35,1,1,20.25,S
281,0,3,male,65,0,0,7.75,Q
282,0,3,male,28,0,0,7.8542,S
283,0,3,male,16,0,0,9.5,S
284,1,3,male,19,0,0,8.05,S
285,0,1,male,,0,0,26,S
286,0,3,male,33,0,0,8.6625,C
287,1,3,male,30,0,0,9.5,S
288,0,3,male,22,0,0,7.8958,S
289,1,2,male,42,0,0,13,S
290,1,3,female,22,0,0,7.75,Q
291,1,1,female,26,0,0,78.85,S
292,1,1,female,19,1,0,91.0792,C
293,0,2,male,36,0,0,12.875,C
294,0,3,female,24,0,0,8.85,S
295,0,3,male,24,0,0,7.8958,S
296,0,1,male,,0,0,27.7208,C
297,0,3,male,23.5,0,0,7.2292,C
298,0,1,female,2,1,2,151.55,S
299,1,1,male,,0,0,30.5,S
300,1,1,female,50,0,1,247.5208,C
301,1,3,female,,0,0,7.75,Q
302,1,3,male,,2,0,23.25,Q
303,0,3,male,19,0,0,0,S
304,1,2,female,,0,0,12.35,Q
305,0,3,male,,0,0,8.05,S
306,1,1,male,0.92,1,2,151.55,S
307,1,1,female,,0,0,110.8833,C
308,1,1,female,17,1,0,108.9,C
309,0,2,male,30,1,0,24,C
310,1,1,female,30,0,0,56.9292,C
311,1,1,female,24,0,0,83.1583,C
312,1,1,female,18,2,2,262.375,C
313,0,2,female,26,1,1,26,S
314,0,3,male,28,0,0,7.8958,S
315,0,2,male,43,1,1,26.25,S
316,1,3,female,26,0,0,7.8542,S
317,1,2,female,24,1,0,26,S
318,0,2,male,54,0,0,14,S
319,1,1,female,31,0,2,164.8667,S
320,1,1,female,40,1,1,134.5,C
321,0,3,male,22,0,0,7.25,S
322,0,3,male,27,0,0,7.8958,S
323,1,2,female,30,0,0,12.35,Q
324,1,2,female,22,1,1,29,S
325,0,3,male,,8,2,69.55,S
326,1,1,female,36,0,0,135.6333,C
327,0,3,male,61,0,0,6.2375,S
328,1,2,female,36,0,0,13,S
329,1,3,female,31,1,1,20.525,S
330,1,1,female,16,0,1,57.9792,C
331,1,3,female,,2,0,23.25,Q
332,0,1,male,45.5,0,0,28.5,S
333,0,1,male,38,0,1,153.4625,S
334,0,3,male,16,2,0,18,S
335,1,1,female,,1,0,133.65,S
336,0,3,male,,0,0,7.8958,S
337,0,1,male,29,1,0,66.6,S
338,1,1,female,41,0,0,134.5,C
339,1,3,male,45,0,0,8.05,S
340,0,1,male,45,0,0,35.5,S
341,1,2,male,2,1,1,26,S
342,1,1,female,24,3,2,263,S
343,0,2,male,28,0,0,13,S
344,0,2,male,25,0,0,13,S
345,0,2,male,36,0,0,13,S
346,1,2,female,24,0,0,13,S
347,1,2,female,40,0,0,13,S
348,1,3,female,,1,0,16.1,S
349,1,3,male,3,1,1,15.9,S
350,0,3,male,42,0,0,8.6625,S
351,0,3,male,23,0,0,9.225,S
352,0,1,male,,0,0,35,S
353,0,3,male,15,1,1,7.2292,C
354,0,3,male,25,1,0,17.8,S
355,0,3,male,,0,0,7.225,C
356,0,3,male,28,0,0,9.5,S
357,1,1,female,22,0,1,55,S
358,0,2,female,38,0,0,13,S
359,1,3,female,,0,0,7.8792,Q
360,1,3,female,,0,0,7.8792,Q
361,0,3,male,40,1,4,27.9,S
362,0,2,male,29,1,0,27.7208,C
363,0,3,female,45,0,1,14.4542,C
364,0,3,male,35,0,0,7.05,S
365,0,3,male,,1,0,15.5,Q
366,0,3,male,30,0,0,7.25,S
367,1,1,female,60,1,0,75.25,C
368,1,3,female,,0,0,7.2292,C
369,1,3,female,,0,0,7.75,Q
370,1,1,female,24,0,0,69.3,C
371,1,1,male,25,1,0,55.4417,C
372,0,3,male,18,1,0,6.4958,S
373,0,3,male,19,0,0,8.05,S
374,0,1,male,22,0,0,135.6333,C
375,0,3,female,3,3,1,21.075,S
376,1,1,female,,1,0,82.1708,C
377,1,3,female,22,0,0,7.25,S
378,0,1,male,27,0,2,211.5,C
379,0,3,male,20,0,0,4.0125,C
380,0,3,male,19,0,0,7.775,S
381,1,1,female,42,0,0,227.525,C
382,1,3,female,1,0,2,15.7417,C
383,0,3,male,32,0,0,7.925,S
384,1,1,female,35,1,0,52,S
385,0,3,male,,0,0,7.8958,S
386,0,2,male,18,0,0,73.5,S
387,0,3,male,1,5,2,46.9,S
388,1,2,female,36,0,0,13,S
389,0,3,male,,0,0,7.7292,Q
390,1,2,female,17,0,0,12,C
391,1,1,male,36,1,2,120,S
392,1,3,male,21,0,0,7.7958,S
393,0,3,male,28,2,0,7.925,S
394,1,1,female,23,1,0,113.275,C
395,1,3,female,24,0,2,16.7,S
396,0,3,male,22,0,0,7.7958,S
397,0,3,female,31,0,0,7.8542,S
398,0,2,male,46,0,0,26,S
399,0,2,male,23,0,0,10.5,S
400,1,2,female,28,0,0,12.65,S
401,1,3,male,39,0,0,7.925,S
402,0,3,male,26,0,0,8.05,S
403,0,3,female,21,1,0,9.825,S
404,0,3,male,28,1,0,15.85,S
405,0,3,female,20,0,0,8.6625,S
406,0,2,male,34,1,0,21,S
407,0,3,male,51,0,0,7.75,S
408,1,2,male,3,1,1,18.75,S
409,0,3,male,21,0,0,7.775,S
410,0,3,female,,3,1,25.4667,S
411,0,3,male,,0,0,7.8958,S
412,0,3,male,,0,0,6.8583,Q
413,1,1,female,33,1,0,90,Q
414,0,2,male,,0,0,0,S
415,1,3,male,44,0,0,7.925,S
416,0,3,female,,0,0,8.05,S
417,1,2,female,34,1,1,32.5,S
418,1,2,female,18,0,2,13,S
419,0,2,male,30,0,0,13,S
420,0,3,female,10,0,2,24.15,S
421,0,3,male,,0,0,7.8958,C
422,0,3,male,21,0,0,7.7333,Q
423,0,3,male,29,0,0,7.875,S
424,0,3,female,28,1,1,14.4,S
425,0,3,male,18,1,1,20.2125,S
426,0,3,male,,0,0,7.25,S
427,1,2,female,28,1,0,26,S
428,1,2,female,19,0,0,26,S
429,0,3,male,,0,0,7.75,Q
430,1,3,male,32,0,0,8.05,S
431,1,1,male,28,0,0,26.55,S
432,1,3,female,,1,0,16.1,S
433,1,2,female,42,1,0,26,S
434,0,3,male,17,0,0,7.125,S
435,0,1,male,50,1,0,55.9,S
436,1,1,female,14,1,2,120,S
437,0,3,female,21,2,2,34.375,S
438,1,2,female,24,2,3,18.75,S
439,0,1,male,64,1,4,263,S
440,0,2,male,31,0,0,10.5,S
441,1,2,female,45,1,1,26.25,S
442,0,3,male,20,0,0,9.5,S
443,0,3,male,25,1,0,7.775,S
444,1,2,female,28,0,0,13,S
445,1,3,male,,0,0,8.1125,S
446,1,1,male,4,0,2,81.8583,S
447,1,2,female,13,0,1,19.5,S
448,1,1,male,34,0,0,26.55,S
449,1,3,female,5,2,1,19.2583,C
450,1,1,male,52,0,0,30.5,S
451,0,2,male,36,1,2,27.75,S
452,0,3,male,,1,0,19.9667,S
453,0,1,male,30,0,0,27.75,C
454,1,1,male,49,1,0,89.1042,C
455,0,3,male,,0,0,8.05,S
456,1,3,male,29,0,0,7.8958,C
457,0,1,male,65,0,0,26.55,S
458,1,1,female,,1,0,51.8625,S
459,1,2,female,50,0,0,10.5,S
460,0,3,male,,0,0,7.75,Q
461,1,1,male,48,0,0,26.55,S
462,0,3,male,34,0,0,8.05,S
463,0,1,male,47,0,0,38.5,S
464,0,2,male,48,0,0,13,S
465,0,3,male,,0,0,8.05,S
466,0,3,male,38,0,0,7.05,S
467,0,2,male,,0,0,0,S
468,0,1,male,56,0,0,26.55,S
469,0,3,male,,0,0,7.725,Q
470,1,3,female,0.75,2,1,19.2583,C
471,0,3,male,,0,0,7.25,S
472,0,3,male,38,0,0,8.6625,S
473,1,2,female,33,1,2,27.75,S
474,1,2,female,23,0,0,13.7917,C
475,0,3,female,22,0,0,9.8375,S
476,0,1,male,,0,0,52,S
477,0,2,male,34,1,0,21,S
478,0,3,male,29,1,0,7.0458,S
479,0,3,male,22,0,0,7.5208,S
480,1,3,female,2,0,1,12.2875,S
481,0,3,male,9,5,2,46.9,S
482,0,2,male,,0,0,0,S
483,0,3,male,50,0,0,8.05,S
484,1,3,female,63,0,0,9.5875,S
485,1,1,male,25,1,0,91.0792,C
486,0,3,female,,3,1,25.4667,S
487,1,1,female,35,1,0,90,S
488,0,1,male,58,0,0,29.7,C
489,0,3,male,30,0,0,8.05,S
490,1,3,male,9,1,1,15.9,S
491,0,3,male,,1,0,19.9667,S
492,0,3,male,21,0,0,7.25,S
493,0,1,male,55,0,0,30.5,S
494,0,1,male,71,0,0,49.5042,C
495,0,3,male,21,0,0,8.05,S
496,0,3,male,,0,0,14.4583,C
497,1,1,female,54,1,0,78.2667,C
498,0,3,male,,0,0,15.1,S
499,0,1,female,25,1,2,151.55,S
500,0,3,male,24,0,0,7.7958,S
